reference_store_id,candidate_store_id,period_month,comparison_question_type,reference_region_type,candidate_region_type,region_type_comparison_note,reference_store_type,candidate_store_type,store_type_comparison_note,search_entry_share_gap_pct,activity_order_share_gap_pct,activity_cost_ratio_gap_pct,refund_pressure_gap_pct,invalid_order_pressure_gap_pct,top3_sku_concentration_gap_pct,pairwise_comparison_decision,pairwise_limit_notes
B,C,2026-03,activity_transfer,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,not_comparable_for_strategy_transfer,region_type_value_matches_but_not_market_classification; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,C,2026-03,order_quality_pressure,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_matches; compare_refund_and_invalid_order_pressure_only; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,C,2026-03,search_entry_structure,Qingdao,Qingdao,region_type_value_matches_but_not_market_classification,self-operated,self-operated,store_type_matches,19.9,17.77,14.67,3.26,1.19,17.23,partially_comparable,region_type_value_matches_but_not_market_classification; store_type_matches; compare_search_entry_structure_only; large_search_entry_share_gap; large_activity_order_share_gap; large_activity_cost_ratio_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_refund_and_invalid_order_pressure_only; do_not_rank_stores_or_transfer_strategy_directly
B,D,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,1.05,5.21,9.2,1.81,0.45,5.75,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_search_entry_structure_only; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,E,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,1.69,19.64,5.26,8.34,6.75,1.4,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_search_entry_structure_only; large_activity_order_share_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
B,F,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,0.21,7.05,11.96,0.14,3.0,8.18,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_cost_ratio_gap; do_not_rank_stores_or_transfer_strategy_directly
B,F,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,0.21,7.05,11.96,0.14,3.0,8.18,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_activity_cost_ratio_gap; do_not_rank_stores_or_transfer_strategy_directly
B,F,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,0.21,7.05,11.96,0.14,3.0,8.18,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_search_entry_structure_only; large_activity_cost_ratio_gap; do_not_rank_stores_or_transfer_strategy_directly
C,D,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,18.85,12.56,5.47,1.45,1.64,11.48,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_search_entry_share_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,D,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,18.85,12.56,5.47,1.45,1.64,11.48,comparable_with_limits,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_refund_and_invalid_order_pressure_only; large_search_entry_share_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,D,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,self-operated,store_type_matches,18.85,12.56,5.47,1.45,1.64,11.48,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_matches; compare_search_entry_structure_only; large_search_entry_share_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,E,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,18.21,1.87,19.93,11.6,7.94,15.83,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_search_entry_share_gap; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,E,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,18.21,1.87,19.93,11.6,7.94,15.83,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_search_entry_share_gap; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,E,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,18.21,1.87,19.93,11.6,7.94,15.83,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_search_entry_structure_only; large_search_entry_share_gap; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; large_top3_sku_concentration_gap_but_not_full_category_share; do_not_rank_stores_or_transfer_strategy_directly
C,F,2026-03,activity_transfer,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,20.11,10.72,2.71,3.12,4.19,9.05,not_comparable_for_strategy_transfer,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_search_entry_share_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
C,F,2026-03,order_quality_pressure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,20.11,10.72,2.71,3.12,4.19,9.05,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_search_entry_share_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
C,F,2026-03,search_entry_structure,Qingdao,Yantai,region_type_value_differs_and_market_classification_is_unresolved,self-operated,partner,store_type_differs,20.11,10.72,2.71,3.12,4.19,9.05,partially_comparable,region_type_value_differs_and_market_classification_is_unresolved; store_type_differs; compare_search_entry_structure_only; large_search_entry_share_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
D,E,2026-03,activity_transfer,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,0.64,14.43,14.46,10.15,6.3,4.35,not_comparable_for_strategy_transfer,region_type_value_matches_but_not_market_classification; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
D,E,2026-03,order_quality_pressure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,0.64,14.43,14.46,10.15,6.3,4.35,partially_comparable,region_type_value_matches_but_not_market_classification; store_type_differs; compare_refund_and_invalid_order_pressure_only; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
D,E,2026-03,search_entry_structure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,0.64,14.43,14.46,10.15,6.3,4.35,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_differs; compare_search_entry_structure_only; large_activity_cost_ratio_gap; large_refund_pressure_gap; large_invalid_order_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
D,F,2026-03,activity_transfer,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,1.26,1.84,2.76,1.67,2.55,2.43,not_comparable_for_strategy_transfer,region_type_value_matches_but_not_market_classification; store_type_differs; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; do_not_rank_stores_or_transfer_strategy_directly
D,F,2026-03,order_quality_pressure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,1.26,1.84,2.76,1.67,2.55,2.43,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_differs; compare_refund_and_invalid_order_pressure_only; do_not_rank_stores_or_transfer_strategy_directly
D,F,2026-03,search_entry_structure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,self-operated,partner,store_type_differs,1.26,1.84,2.76,1.67,2.55,2.43,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_differs; compare_search_entry_structure_only; do_not_rank_stores_or_transfer_strategy_directly
E,F,2026-03,activity_transfer,Yantai,Yantai,region_type_value_matches_but_not_market_classification,partner,partner,store_type_matches,1.9,12.59,17.22,8.48,3.75,6.78,not_comparable_for_strategy_transfer,region_type_value_matches_but_not_market_classification; store_type_matches; activity_strategy_transfer_requires_activity_cost_refund_invalid_order_and_competition_context; large_activity_cost_ratio_gap; large_refund_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
E,F,2026-03,order_quality_pressure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,partner,partner,store_type_matches,1.9,12.59,17.22,8.48,3.75,6.78,partially_comparable,region_type_value_matches_but_not_market_classification; store_type_matches; compare_refund_and_invalid_order_pressure_only; large_activity_cost_ratio_gap; large_refund_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
E,F,2026-03,search_entry_structure,Yantai,Yantai,region_type_value_matches_but_not_market_classification,partner,partner,store_type_matches,1.9,12.59,17.22,8.48,3.75,6.78,comparable_with_limits,region_type_value_matches_but_not_market_classification; store_type_matches; compare_search_entry_structure_only; large_activity_cost_ratio_gap; large_refund_pressure_gap; do_not_rank_stores_or_transfer_strategy_directly
